problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,81.41,3279,1252,0.000960,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (y * ((x * y) * x))\nEq2: x * y = ((z * x) * w) * y\n\nEq1 is bare.\nNormalized Eq1: x = y * (y * ((x * y) * x))\nP = y * (y * ((x * y) * x))\nrhsVar
hard1_0002,False,False,True,True,labeled:FALSE,106.62,3280,832,0.000792,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * (y * z) = (z * w) * w\n- LHS: x * (y * z), WORD = [x, y, z], SET = {x, y, z}, AB = {x:1, y:1, z:1}\n- RHS: (z * w) * w, WORD = [z, w, w], SET = {z, w}, A"
hard1_0003,True,True,True,True,labeled:TRUE,164.58,3277,408,0.000622,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * y) * z) * x\nEq2: x = x * (((y * x) * x) * x)\n\nEq1 is bare (single variable x on left).\nNormalized Eq1: x = P where P = ((y * y) * z) * x.\n\nST
hard1_0004,False,False,True,True,labeled:FALSE,68.38,3280,967,0.000846,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: (x * y) * x = (x * z) * w\nEq2: x * (y * y) = x * (z * y)\n\nEq1:\nLHS: (x * y) * x. WORD: [x, y, x]. SET: {x, y}. AB: {x:2, y:1}. Leftmost: x, Rightmost: x."
hard1_0005,False,False,True,True,labeled:FALSE,96.88,3279,1186,0.000933,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * z) * (z * x)) * y\n- Left side: x (bare)\n- Right side: ((y * z) * (z * x)) * y\n- WORD(Eq1): LHS=[x], RHS=[y, z, z, x, y]\n- SET(Eq1): LHS={x}, RH"
hard1_0006,False,False,True,True,labeled:FALSE,159.47,3272,327,0.000589,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (x * y) * z\nEq2: x * x = (y * z) * w\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: Eq1 is x*x = (x*y)*z. Eq2 is x*x = (y*z)*w. Not identical under ren
hard1_0007,True,True,True,True,labeled:TRUE,18.36,3279,491,0.000655,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (y * (y * (y * z))) * x\nEq2: x * y = z * (w * (w * y))\n\nEq1 is bare (single variable x on left).\nP = (y * (y * (y * z))) * x\nrhsVars = 3 {x, y, z}\n"
hard1_0008,False,True,False,True,labeled:TRUE,84.80,3280,331,0.000592,REASONING:\nSTEP 1: Extract Features\nEq1: x = x * (y * ((y * z) * y))\nEq2: x = x * ((x * (x * x)) * x)\n\nSTEP 2: True Routes\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard1_0009,False,False,True,True,labeled:FALSE,150.75,3280,1163,0.000924,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((x * x) * (y * z)) * y\nEq2: x = ((x * (y * x)) * x) * y\n\nEq1 is bare (x = T).\nT = ((x * x) * (y * z)) * y\nWORD(T) = [x, x, y, z, y]\nSET(T) = {x, y"
hard1_0010,False,False,True,True,labeled:FALSE,21.79,3280,755,0.000761,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: (x * x) * y = (y * y) * z\nEq2: x * (y * y) = x * (z * z)\n\nSTEP 2. TRUE ROUTES\n- 2.1 Exact renaming: No.\n- 2.2 Tautological target: No.\n- 2.3 Singleton 
