problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,VERDICT: FALSE,10.04,2587,123,0.000831,VERDICT: FALSE\nRULE: leftmost exclusion\n\nEquation 1 is $x = y * (y * ((x * y) * x))$. The leftmost variable on the left side is $x$. The leftmost variable on the right side is $y$. Since the leftmo
hard1_0002,False,False,True,True,VERDICT: FALSE,16.19,2589,89,0.000781,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is $x * (y * z) = (z * w) * w$. This is not a bare equation (neither side is a single variable), so the bare-source motifs and projection rules do not"
hard1_0003,True,False,False,True,VERDICT: FALSE,24.73,2585,325,0.001134,"VERDICT: FALSE\nRULE: rightmost exclusion\n\nReasoning:\nEquation 1 is $x = ((y * y) * z) * x$. The rightmost variable on the left side is $x$, and the rightmost variable on the right side is $x$.\nEq"
hard1_0004,False,False,True,True,VERDICT: FALSE,6.01,2588,106,0.000806,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is (x * y) * x = (x * z) * w. This is not a bare equation (both sides are products), so the bare-source motifs and projection rules do not apply. Ther"
hard1_0005,False,False,True,True,VERDICT: FALSE,13.92,2588,189,0.000931,"VERDICT: FALSE\nRULE: rightmost exclusion\n\nEquation 1: $x = ((y * z) * (z * x)) * y$. The rightmost variable on the left is $x$. The rightmost variable on the right is $y$. Since $x \neq y$, the equ"
hard1_0006,False,False,True,True,VERDICT: FALSE,22.40,2580,98,0.000792,"VERDICT: FALSE\nRULE: rightmost exclusion\n\nEquation 1 is $x * x = (x * y) * z$. The rightmost variable of the left side is $x$. The rightmost variable of the right side is $z$. Since $x \neq z$, the"
hard1_0007,True,False,False,True,VERDICT: FALSE,5.24,2587,151,0.000873,VERDICT: FALSE\nRULE: leftmost exclusion\n\nEquation 1 is $x = (y * (y * (y * z))) * x$. The leftmost variable on the left side is $x$. The leftmost variable on the right side is $y$. Since the leftmo
hard1_0008,False,False,True,True,VERDICT: FALSE,13.15,2588,267,0.001048,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is $x = x * (y * ((y * z) * y))$. This is a bare equation where the right side is a product term $P$.\nThe variables in $P$ are $\{x, y, z\}$. The lef"
hard1_0009,False,False,True,True,VERDICT: FALSE,21.54,2589,147,0.000868,VERDICT: FALSE\nRULE: default false\n\nEquation 1 is $x = ((x * x) * (y * z)) * y$. Equation 2 is $x = ((x * (y * x)) * x) * y$.\nBoth equations are bare (one side is a single variable $x$).\nChecking
hard1_0010,False,False,True,True,VERDICT: FALSE,3.94,2588,109,0.000811,"VERDICT: FALSE\nRULE: rightmost exclusion\n\nEquation 1: (x * x) * y = (y * y) * z. The rightmost variable of the left side is y. The rightmost variable of the right side is z. Since y ≠ z, the premis"
hard1_0011,False,False,True,True,VERDICT: FALSE,11.60,2591,103,0.000802,VERDICT: FALSE\nRULE: rightmost exclusion\n\nEquation 1 is $x = (x * (y * z)) * (w * y)$. The rightmost variable is $y$.\nEquation 2 is $x = (y * (z * w)) * (u * z)$. The rightmost variable is $z$.\nS
hard1_0012,False,False,True,True,VERDICT: FALSE,20.72,2589,250,0.001022,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is (x * y) * x = (z * w) * u. This equation is not bare (both sides are product terms), so the bare-source motifs and projection rules do not apply. E"
hard1_0013,True,False,False,True,VERDICT: FALSE,2.03,2586,175,0.000909,VERDICT: FALSE\nRULE: rightmost exclusion\n\nEquation 1 is $x * y = ((z * y) * x) * x$. The rightmost variable on the left side is $y$. The rightmost variable on the right side is $x$. Since $y \neq x
hard1_0014,False,False,True,True,VERDICT: FALSE,10.21,2590,210,0.000963,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is $x = (y * x) * (x * (x * z))$.\nEquation 2 is $x = y * (z * (z * (x * y)))$.\nEquation 1 is not a bare equation (the right side is a product term, "
hard1_0015,False,False,True,True,VERDICT: FALSE,18.36,2588,210,0.000962,"VERDICT: FALSE\nRULE: default false\n\nEquation 1 is $x * x = x * (y * (z * y))$. This is not a bare equation (the left side is $x * x$, not $x$), so the bare-source motifs and projection rules do not"
hard1_0016,False,False,True,True,VERDICT: FALSE,28.66,2590,412,0.001265,VERDICT: FALSE\nRULE: leftmost exclusion\n\nEquation 1 is $x = (x * y) * (x * (y * z))$. The leftmost variable on the left side is $x$. The leftmost variable on the right side is $x$ (from the first $
hard1_0017,False,False,True,True,VERDICT: FALSE,7.96,2589,149,0.000871,"VERDICT: FALSE\nRULE: rightmost exclusion\n\nReasoning:\nEquation 1 is $x = y * (((x * y) * x) * y)$. The rightmost variable of the left side is $x$, and the rightmost variable of the right side is $y"
