problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
saircommunity_0001,False,False,True,True,labeled:FALSE,44.63,3283,613,0.000245,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0002,True,False,False,True,labeled:FALSE,288.86,3290,1542,0.000421,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0003,False,False,True,True,labeled:FALSE,305.93,3284,600,0.000242,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0004,True,False,False,True,labeled:FALSE,393.06,3289,1433,0.000401,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0005,False,False,True,True,labeled:FALSE,421.29,3284,451,0.000214,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0006,True,False,False,True,labeled:FALSE,487.33,3289,753,0.000271,VERDICT: FALSE\nREASONING: default false fallback
saircommunity_0007,False,False,True,True,labeled:FALSE,542.63,3283,966,0.000312,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0008,True,False,False,True,labeled:FALSE,585.76,3280,1212,0.000358,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0009,False,False,True,True,labeled:FALSE,632.99,3280,704,0.000262,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0010,True,False,False,True,labeled:FALSE,13.10,3289,1396,0.000394,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0011,False,False,True,True,labeled:FALSE,62.56,3284,742,0.000269,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0012,True,False,False,True,labeled:FALSE,137.54,3277,1334,0.000381,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0013,False,False,True,True,labeled:FALSE,163.05,3283,502,0.000223,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0014,True,False,False,True,labeled:FALSE,236.60,3289,1235,0.000363,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0015,False,False,True,True,labeled:FALSE,288.89,3284,640,0.000250,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0016,True,False,False,True,labeled:FALSE,367.27,3290,1358,0.000386,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0017,False,False,True,True,labeled:FALSE,399.66,3284,682,0.000258,REASONING: rightmost exclusion\nVERDICT: FALSE\nPROOF:
saircommunity_0018,True,False,False,True,labeled:FALSE,467.72,3280,1179,0.000352,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0019,False,False,True,True,labeled:FALSE,505.32,3284,563,0.000235,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0020,True,False,False,True,labeled:FALSE,562.12,3289,992,0.000317,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0021,False,False,True,True,labeled:FALSE,613.83,3275,1135,0.000343,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0022,True,False,False,True,labeled:FALSE,213.98,3280,1141,0.000345,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0023,False,False,True,True,labeled:FALSE,271.49,3284,883,0.000296,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0024,True,False,False,True,labeled:FALSE,333.25,3289,478,0.000219,REASONING: spine isolation\n\nVERDICT: FALSE\n\nPROOF:
saircommunity_0025,False,False,True,True,labeled:FALSE,473.42,3275,998,0.000317,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0026,True,False,False,True,labeled:FALSE,622.96,3290,1375,0.000390,REASONING: default false fallback\nVERDICT: FALSE
