problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,VERDICT: TRUE,964.44,2614,704,0.000875,"VERDICT: TRUE  \nRULE: right projection  \nEquation 1 is x = y * x, matching the right projection family since the term before *x lacks x.  \nThis forces a * b = b in all magmas satisfying Eq1.  \nEqu"
hard3_0002,True,True,True,True,VERDICT: TRUE,1409.95,2618,10599,0.005823,VERDICT: TRUE  \nRULE: structural heuristic  \nEq1 is bare with 2 variables; Eq2 has 1 variable.  \nImbalance of Eq2 (4) exceeds that of Eq1 (2).  \nNo prior exact routes fired.
hard3_0003,True,False,False,True,VERDICT: FALSE,1406.42,2618,3593,0.002320,VERDICT: FALSE  \nRULE: default false  \nNo exact TRUE or syntactic FALSE routes apply to these equations. No small finite witnesses distinguish them. Tiny exact rewrite cannot derive Equation 2 from 
hard3_0004,True,True,True,True,VERDICT: TRUE,1439.87,2618,852,0.000950,"VERDICT: TRUE  \nRULE: singleton collapse  \nEquation 1 has form x = T with x absent from T = y*(z*w), forcing singleton magmas.  \nSingletons satisfy every equation, including Equation 2."
hard3_0005,True,True,True,True,VERDICT: TRUE,1494.39,2617,909,0.000978,"VERDICT: TRUE  \nRULE: right projection  \nEq1 is bare with form x = T * x where T = (y * z) contains no x, forcing right projection (a * b = b).  \nUnder right projection, left side of Eq2 (x * y) co"
hard3_0006,True,False,False,True,VERDICT: FALSE,1561.83,2616,6394,0.003720,VERDICT: FALSE\nRULE: default false\nNo exact TRUE or syntactic FALSE route applies per steps 2-3.\nNo small finite witness shows Eq1 holds but Eq2 fails per step 4.\nNo tiny exact rewrite reaches Eq2
hard3_0007,False,False,True,True,VERDICT: FALSE,1630.92,2616,3455,0.002251,"VERDICT: FALSE  \nRULE: default false  \nNo TRUE or syntactic FALSE routes apply, as Equation 1 sides mismatch on WORD/PARITY/SET invariants and is not bare/projective. Small witnesses like left-zero/"
hard3_0008,True,True,True,True,VERDICT: TRUE,1647.61,2616,1412,0.001229,"VERDICT: TRUE  \nRULE: constant operation  \nEquation 1 has form A = B with A = x*x, B = y*z, both non-variable products with disjoint variable sets {x} and {y,z}.  \nThis forces every product a*b to "
hard3_0009,False,False,True,True,VERDICT: FALSE,1720.71,2621,3304,0.002176,"VERDICT: FALSE\nRULE: default false\nNo exact TRUE routes apply: Equation 1 is x = x*(x*(x*y)), which is bare but rhsVars=2 (motifs need ≥3), T contains x (no projection), and no other matches. No syn"
hard3_0010,False,False,True,True,VERDICT: FALSE,1830.90,2620,8974,0.005011,VERDICT: FALSE\nRULE: default false\nNo exact TRUE or syntactic FALSE routes fire. Step 4 witnesses do not apply as Eq1 fails in those magmas or Eq2 holds. A counterexample is the 3-element magma wher
hard3_0011,False,False,True,True,VERDICT: FALSE,2575.96,2621,9472,0.005260,VERDICT: FALSE\nRULE: default false\nNo exact TRUE routes 2.1-2.11 fire on the equations. No syntactic FALSE routes 3.1-3.6 apply as Eq1 sides differ in WORD/PARITY/SET/etc. No small witnesses in STEP
hard3_0012,False,False,True,True,VERDICT: FALSE,1975.45,2621,7279,0.004164,"VERDICT: FALSE  \nRULE: default false  \nNo exact TRUE or syntactic FALSE routes fired. No small finite witnesses distinguish. Per instructions, default to FALSE when undecided."
hard3_0013,False,False,True,True,VERDICT: FALSE,2044.98,2621,9465,0.005257,VERDICT: FALSE  \nRULE: default false  \nNo exact TRUE routes 2.1-2.11 fire. No syntactic FALSE routes 3.1-3.6 fire. No small witnesses or rewrite reach Eq2.
hard3_0014,True,True,True,True,VERDICT: TRUE,2056.73,2621,933,0.000991,"VERDICT: TRUE  \nRULE: left projection  \nEq1 is bare of form x = x * T with no x in T, forcing left projection (a*b = a).  \nUnder left projection, Eq2 right side (((x*y)*z)*x)*y collapses to leftmos"
hard3_0015,True,True,True,True,VERDICT: TRUE,2092.32,2620,892,0.000970,"VERDICT: TRUE  \nRULE: left projection  \nEq1 is x = x * T with T = y * (z * z) containing no x, forcing left projection (a * b = a).  \nUnder left projection, both sides of Eq2 collapse to their left"
hard3_0016,False,False,True,True,VERDICT: FALSE,2197.67,2621,7643,0.004346,"VERDICT: FALSE\nRULE: default false\nNo TRUE or syntactic FALSE routes apply. Small witnesses like right-zero satisfy both equations. A 3-element magma with columns constantly 1,2,0 satisfies Equation"
hard3_0017,False,False,True,True,VERDICT: FALSE,2195.16,2618,2659,0.001853,VERDICT: FALSE\nRULE: default false\nNo exact TRUE or syntactic FALSE routes fired in Steps 2-3. Right-zero witness satisfies both equations. No tiny rewrite reaches Equation 2 from Equation 1.
