problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,108.47,3279,1158,0.000922,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (y * ((x * y) * x))\nEq2: x * y = ((z * x) * w) * y\nEq1 is bare (single variable x on left).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No match.\n2.5: Normal
hard1_0002,False,False,True,True,labeled:FALSE,143.66,3280,832,0.000792,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * (y * z) = (z * w) * w\n- Leftmost Eq1: x, Rightmost Eq1: w\n- WORD Eq1: LHS [x, y, z], RHS [z, w, w]\n- SET Eq1: LHS {x, y, z}, RHS {z, w}\n- AB Eq1: LHS"
hard1_0003,True,True,True,True,labeled:TRUE,201.44,3277,531,0.000671,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * y) * z) * x\nEq2: x = x * (((y * x) * x) * x)\n\nEq1 is bare.\nNormalized Eq1: x = P where P = ((y * y) * z) * x.\nrhsVars = 3 ({x, y, z})\nLx = FA"
hard1_0004,False,False,True,True,labeled:FALSE,51.49,3280,867,0.000806,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: (x * y) * x = (x * z) * w\nEq2: x * (y * y) = x * (z * y)\n\nEq1:\nLHS: (x * y) * x. WORD: [x, y, x]. SET: {x, y}. AB: {x:2, y:1}. Leftmost: x, Rightmost: x."
hard1_0005,False,False,True,True,labeled:FALSE,91.54,3279,728,0.000750,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * z) * (z * x)) * y\nEq2: x * x = (y * (y * y)) * y\n\nEq1 is bare (single variable x on left).\nP = ((y * z) * (z * x)) * y\nrhsVars = 3 {x, y, z}\n"
hard1_0006,False,False,True,True,labeled:FALSE,178.98,3272,422,0.000627,"REASONING:\nEq1: x * x = (x * y) * z\nEq2: x * x = (y * z) * w\n\nSTEP 1: EXTRACT FEATURES\nEq1: LHS = x * x, RHS = (x * y) * z.\nWORD(LHS) = [x, x], WORD(RHS) = [x, y, z].\nSET(LHS) = {x}, SET(RHS) ="
hard1_0007,True,True,True,True,labeled:TRUE,9.45,3279,482,0.000652,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (y * (y * (y * z))) * x\nEq2: x * y = z * (w * (w * y))\n\nEq1 is bare (single variable x on left).\nP = (y * (y * (y * z))) * x\nrhsVars = 3 {x, y, z}\n"
hard1_0008,False,True,False,True,labeled:TRUE,79.93,3280,331,0.000592,"REASONING:\nEq1: x = x * (y * ((y * z) * y))\nEq2: x = x * ((x * (x * x)) * x)\n\nSTEP 1: EXTRACT FEATURES\nEq1: bare (x = T), T = (y * ((y * z) * y))\nEq2: bare (x = S), S = ((x * (x * x)) * x)\n\nST"
hard1_0009,False,False,True,True,labeled:FALSE,204.85,3280,1190,0.000935,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((x * x) * (y * z)) * y\nEq2: x = ((x * (y * x)) * x) * y\n\nEq1 is bare (x = T).\nT = ((x * x) * (y * z)) * y\nWORD(T) = [x, x, y, z, y]\nSET(T) = {x, y"
hard1_0010,False,False,True,True,labeled:FALSE,12.76,3280,729,0.000751,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: (x * x) * y = (y * y) * z\nEq2: x * (y * y) = x * (z * z)\n\nSTEP 2. TRUE ROUTES\n- 2.1 Exact identity: No.\n- 2.2 Tautological target: No.\n- 2.3 Singleton 
hard1_0011,False,False,True,True,labeled:FALSE,83.26,3282,769,0.000767,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (x * (y * z)) * (w * y)\n- Bare: Yes (x on left)\n- WORD(LHS): x\n- WORD(RHS): x, y, z, w, y\n- SET(LHS): {x}\n- SET(RHS): {x, y, z, w}\n- AB(LHS): {x:1}"
hard1_0012,False,True,False,True,labeled:TRUE,151.98,3280,79,0.000491,"REASONING: Eq1 is (x * y) * x = (z * w) * u. Both sides are non-variable product terms. The variables in the LHS {x, y} and RHS {z, w, u} are distinct. This matches the condition for the constant-oper"
hard1_0013,True,False,False,True,labeled:FALSE,9.03,3278,723,0.000748,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * y = ((z * y) * x) * x\nEq2: x * y = y * (y * (y * y))\n\nEq1 is not bare (both sides are products).\nEq2 is not bare (both sides are products).\n\nSTEP 2
hard1_0014,False,False,True,True,labeled:FALSE,109.19,3281,1040,0.000875,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (y * x) * (x * (x * z))\nEq2: x = y * (z * (z * (x * y)))\n\nEq1 is bare (single variable x on left).\nP = (y * x) * (x * (x * z))\nrhsVars = 3 {x, y, z}"
hard1_0015,False,False,True,True,labeled:FALSE,145.11,3279,812,0.000784,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = x * (y * (z * y))\nEq2: x * (x * x) = x * (y * x)\n\nSTEP 2. TRUE ROUTES\n- 2.1 Exact identity: No.\n- 2.2 Tautological target: No.\n- 2.3 Singleton 
hard1_0016,False,False,True,True,labeled:FALSE,208.45,3282,956,0.000842,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (x * y) * (x * (y * z))\nEq2: x = (x * y) * (x * (z * y))\n\nEq1 is bare (x = T).\nT = (x * y) * (x * (y * z))\nvars(T) = {x, y, z}\nx is the leftmost va"
hard1_0017,False,False,True,True,labeled:FALSE,108.64,3280,1469,0.001047,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (((x * y) * x) * y)\n- Bare: Yes (x on left)\n- WORD(Eq1): LHS=[x], RHS=[y, x, y, x, y]\n- SET(Eq1): LHS={x}, RHS={x, y}\n- AB(Eq1): LHS={x:1}, RHS={"
hard1_0018,True,False,False,True,labeled:FALSE,177.73,3281,1126,0.000910,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * x) * y) * (z * z)\nEq2: x = x * (((x * y) * x) * y)\n\nEq1 is bare (single variable x on left).\nNormalized Eq1: x = ((y * x) * y) * (z * z)\nP = (
hard1_0019,False,False,True,True,labeled:FALSE,204.79,3278,803,0.000780,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * y = (x * (y * x)) * z\nLHS: x * y. WORD: [x, y]. SET: {x, y}. AB: {x:1, y:1}.\nRHS: (x * (y * x)) * z. WORD: [x, y, x, z]. SET: {x, y, z}. AB: {x:2, y:1,"
