problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,84.39,3096,198,0.000373,"VERDICT: FALSE\nREASONING: Apply STEP 1. Eq1: x = y * (y * ((x * y) * x)), Eq2: x * y = ((z * x) * w) * y. \nExtract features for Eq1 and Eq2. \nFor Eq1: WORD = [x,y], PARITY = [odd,even], SET = {x,y}"
hard1_0002,False,False,True,True,labeled:FALSE,87.79,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0003,True,False,False,True,labeled:FALSE,138.43,3094,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0004,False,False,True,True,labeled:FALSE,15.01,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0005,False,False,True,True,labeled:FALSE,80.40,3096,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0006,False,False,True,True,labeled:FALSE,131.11,3089,14,0.000313,VERDICT: FALSE\nREASONING: default false fallback
hard1_0007,True,False,False,True,labeled:FALSE,135.93,3096,880,0.000591,"VERDICT: FALSE\nREASONING: Apply STEP 1 to Eq1: x = (y * (y * (y * z))) * x. \nEq1 is bare, with x on the left and a product term on the right. \nThe product term is (y * (y * (y * z))) * x, which con"
hard1_0008,False,False,True,True,labeled:FALSE,75.84,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0009,False,False,True,True,labeled:FALSE,117.63,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0010,False,False,True,True,labeled:FALSE,9.97,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0011,False,False,True,True,labeled:FALSE,251.78,3099,1411,0.000761,"VERDICT: FALSE\nREASONING: Apply STEP 3.0 Spine Isolation. Eq1: x = (x * (y * z)) * (w * y) is bare and x appears exactly once in the product side. The path from the root to x is LRR (left, right, rig"
hard1_0012,False,False,True,True,labeled:FALSE,114.25,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard1_0013,True,False,False,True,labeled:FALSE,23.26,3095,152,0.000358,"VERDICT: FALSE\nREASONING: Apply STEP 1. Eq1: x * y = ((z * y) * x) * x, Eq2: x * y = y * (y * (y * y)). \nEq1 is not bare, so we cannot apply the bare-source rules directly. \nApply STEP 3. \nFor Eq1"
hard1_0014,False,False,True,True,labeled:FALSE,81.76,3098,277,0.000398,"VERDICT: FALSE\nREASONING: Apply STEP 1. Eq1: x = (y * x) * (x * (x * z)), Eq2: x = y * (z * (z * (x * y))). \nExtract features for Eq1 and Eq2. \nFor Eq1: leftmost variable = y, rightmost variable = "
