problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,labeled:FALSE,30.50,3283,318,0.000188,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0002,False,False,True,True,labeled:FALSE,169.28,3284,572,0.000237,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0003,True,False,False,True,labeled:FALSE,211.04,3281,381,0.000200,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0004,True,False,False,True,labeled:FALSE,271.67,3283,1660,0.000443,REASONING: default false fallback\nVERDICT: FALSE
hard2_0005,True,False,False,True,labeled:FALSE,302.92,3283,959,0.000310,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0006,True,True,True,True,labeled:TRUE,328.28,3284,498,0.000223,"REASONING: The source equation is bare: x = y*(z*(x*(x*w))). Compute its features: distinct variables rv=4 (y,z,x,w); leftmost variable is y so Lx=FALSE; rightmost variable is w so Rx=FALSE; at the to"
hard2_0007,False,False,True,True,labeled:FALSE,357.14,3283,258,0.000177,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0008,True,True,True,True,labeled:TRUE,407.40,3283,529,0.000229,"REASONING: The source equation is x = y * (x * (x * (z * y))). Analyzing the right‑hand side P = y * (x * (x * (z * y))) gives the feature vector rv=3, Lx=FALSE, Rx=FALSE, xTop=right, ts=v-m, rTot=[1,"
hard2_0009,False,False,True,True,labeled:FALSE,443.04,3283,1000,0.000318,REASONING: spine isolation\nVERDICT: FALSE\nPROOF:
hard2_0010,False,False,True,True,labeled:FALSE,24.17,3284,570,0.000236,REASONING: default false fallback\nVERDICT: FALSE
hard2_0011,False,False,True,True,labeled:FALSE,54.98,3280,554,0.000233,VERDICT: FALSE\nREASONING: default false fallback
hard2_0012,False,False,True,True,labeled:FALSE,94.30,3283,927,0.000304,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0013,False,False,True,True,labeled:FALSE,113.78,3283,475,0.000218,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0014,False,False,True,True,labeled:FALSE,164.01,3283,1105,0.000338,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard2_0015,False,True,False,True,labeled:TRUE,202.65,3282,1252,0.000366,"REASONING: The premise `x * x = (y * (z * w)) * u` forces the binary operation to be constant. Indeed, for arbitrary choices of the variables the left‑hand side depends only on `x` while the right‑han"
hard2_0016,False,True,False,True,labeled:TRUE,231.49,3282,398,0.000204,"REASONING: The source equation is bare and matches the left‑projection pattern 2.6: it can be renamed to x = x * T with T = y * ((y *z) * y), which does not contain x. Hence the magma must satisfy the"
hard2_0017,True,True,True,True,labeled:TRUE,272.58,3283,647,0.000251,"REASONING: The source equation is bare x = y * (x * (y * (y * z))). Analyzing the term T = y * (x * (y * (y * z))) gives the feature vector rv=3, Lx=FALSE, Rx=FALSE, xTop=right, ts=v-m, rTot=[1,1,3]. "
hard2_0018,True,False,False,True,labeled:FALSE,325.86,3280,1240,0.000364,VERDICT: FALSE\nREASONING: default false fallback
hard2_0019,True,True,True,True,labeled:TRUE,351.73,3282,667,0.000255,"REASONING: The source equation is bare: x = T with T = (((y*y)*z)*x)*w. Computing features of T gives rv=4, Lx=FALSE, Rx=FALSE, xTop=left, ts=m‑v, rTot=[1,1,1,2], xCount=1, which matches contradiction"
hard2_0020,False,True,False,True,labeled:TRUE,403.30,3283,1474,0.000408,"REASONING: The identity x * (y * z) = z * (w * u) forces the binary operation to be constant. Indeed, fixing any right‑hand argument a, the equation with w = y and u = z gives x * a = z * a for all x,"
hard2_0021,True,False,False,True,labeled:FALSE,419.52,3282,374,0.000199,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
