problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
saircommunity_0001,False,False,True,True,labeled:FALSE,72.41,3466,1064,0.000911,"REASONING:\nEq1: x = y * (((x * y) * x) * y)\nEq2: x = x * (((y * x) * y) * x)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = y * (((x * y) * x) * y). Bare source.\nEq2: LHS = x, RHS = x * (((y * x)"
saircommunity_0002,True,False,False,True,labeled:FALSE,307.34,3473,1180,0.000958,REASONING:\nEq1: x = ((y * ((z * y) * x)) * y) * z\nEq2: x = (y * ((z * x) * z)) * (z * y)\n\nStep 1: Extract Features\nEq1 is bare: x = P where P = ((y * ((z * y) * x)) * y) * z.\nEq2 is bare: x = S 
saircommunity_0003,False,False,True,True,labeled:FALSE,333.14,3467,1062,0.000910,"REASONING:\nEq1: x = (x * ((y * x) * y)) * y\nEq2: x = (x * y) * ((x * x) * x)\n\nStep 1: Extract Features\nEq1: Bare source x = T where T = (x * ((y * x) * y)) * y.\nWORD(T) = [x, y, x, y, y]\nSET(T)"
saircommunity_0004,True,False,False,True,labeled:FALSE,436.79,3472,1002,0.000887,"REASONING:\nEq1: x = (y * ((z * x) * (y * z))) * y\nEq2: x = y * ((z * (x * (z * y))) * z)\n\nStep 1: Extract Features\nEq1: x = P where P = (y * ((z * x) * (y * z))) * y\n- rv = 3 (x, y, z)\n- Lx = F"
saircommunity_0005,False,False,True,True,labeled:FALSE,502.33,3467,482,0.000678,REASONING:\nEq1: x = y * (x * (x * (y * y)))\nEq2: x = (x * y) * (x * (y * y))\n\nStep 1: Extract Features\nEq1: x = T where T = y * (x * (x * (y * y)))\nEq2: x = S where S = (x * y) * (x * (y * y))\n
saircommunity_0006,True,False,False,True,labeled:FALSE,545.32,3472,845,0.000824,"REASONING: Eq1 is bare and can be renamed x = P where P = y * ((z * (x * (z * y))) * z).\nFeatures of P:\n- rv = 3 (variables are x, y, z)\n- Lx = FALSE (leftmost is y)\n- Rx = FALSE (rightmost is z)\"
saircommunity_0007,False,False,True,True,labeled:FALSE,594.27,3466,891,0.000842,REASONING:\nEq1: x = y * ((y * (y * x)) * x)\nEq2: x = x * ((y * (x * x)) * x)\n\nStep 1: Extract Features\nEq1: x = P where P = y * ((y * (y * x)) * x)\nEq2: x = S where S = x * ((y * (x * x)) * x)\n
saircommunity_0008,True,False,False,True,labeled:FALSE,603.51,3463,944,0.000862,"REASONING:\nEq1: x = x * ((x * (x * y)) * x)\nEq2: x = x * ((x * x) * x)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = x * ((x * (x * y)) * x). Bare source.\nEq2: LHS = x, RHS = x * ((x * x) * x). "
saircommunity_0009,False,False,True,True,labeled:FALSE,638.96,3463,1083,0.000918,"REASONING:\nEq1: x = ((x * (x * y)) * y) * y\nEq2: x = x * ((y * y) * x)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = ((x * (x * y)) * y) * y. Bare source.\nEq2: LHS = x, RHS = x * ((y * y) * x). "
saircommunity_0010,True,False,False,True,labeled:FALSE,59.00,3472,945,0.000864,"REASONING:\nEq1: x = y * ((z * y) * ((x * y) * z))\nEq2: x = ((y * ((z * y) * x)) * y) * z\n\nStep 1: Extract Features\nEq1: x = P where P = y * ((z * y) * ((x * y) * z))\n- rv = 3 (x, y, z)\n- Lx = F"
saircommunity_0011,False,False,True,True,labeled:FALSE,91.14,3467,990,0.000881,"REASONING:\nEq1: x = (x * ((x * y) * y)) * y\nEq2: x = (x * y) * ((x * y) * y)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (x * ((x * y) * y)) * y. Bare source.\nEq2: LHS = x, RHS = (x * y) * ((x"
saircommunity_0012,True,False,False,True,labeled:FALSE,199.58,3460,986,0.000879,REASONING:\nEq1: x = x * ((x * (y * z)) * z)\nEq2: x = x * (x * y)\n\nStep 1: Extract Features\nEq1 is bare: x = T where T = x * ((x * (y * z)) * z).\nEq2 is bare: x = S where S = x * (x * y).\n\nStep
saircommunity_0013,False,False,True,True,labeled:FALSE,230.22,3466,912,0.000850,REASONING:\nEq1: x = y * (y * ((y * x) * x))\nEq2: x = (x * (x * (x * y))) * x\n\nStep 1: Extract Features\nEq1: x = P where P = y * (y * ((y * x) * x))\nEq2: x = S where S = (x * (x * (x * y))) * x\n
saircommunity_0014,True,False,False,True,labeled:FALSE,273.25,3472,1036,0.000900,REASONING:\nEq1: x = y * (((y * z) * (x * z)) * y)\nEq2: x = y * (x * ((y * (z * y)) * z))\n\nStep 1: Extract Features\nEq1: x = T where T = y * (((y * z) * (x * z)) * y).\nEq2: x = S where S = y * (x
saircommunity_0015,False,False,True,True,labeled:FALSE,311.15,3467,1072,0.000914,"REASONING:\nEq1: x = (((x * y) * y) * x) * y\nEq2: x = (x * y) * (x * (x * x))\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (((x * y) * y) * x) * y. Bare source.\nEq2: LHS = x, RHS = (x * y) * (x "
saircommunity_0016,True,False,False,True,labeled:FALSE,582.02,3473,1261,0.000991,REASONING:\nEq1: x = (y * z) * ((y * (x * y)) * z)\nEq2: x = (y * (((y * z) * x) * y)) * z\n\nStep 1: Extract Features\nEq1: x = T where T = (y * z) * ((y * (x * y)) * z)\nEq2: x = S where S = (y * ((
saircommunity_0017,False,False,True,True,labeled:FALSE,445.49,3467,595,0.000723,REASONING:\nEq1: x = y * (y * ((x * y) * x))\nEq2: x = ((x * y) * y) * (y * y)\n\nStep 1: Extract Features\nEq1: x = P where P = y * (y * ((x * y) * x))\nEq2: x = S where S = ((x * y) * y) * (y * y)\n
saircommunity_0018,True,False,False,True,labeled:FALSE,515.70,3463,997,0.000884,REASONING:\nEq1: x = x * (((x * y) * x) * z)\nEq2: x = x * ((x * x) * y)\n\nStep 1: Extract Features\nEq1: Bare source x = T where T = x * (((x * y) * x) * z).\nEq2: Bare source x = S where S = x * ((
saircommunity_0019,False,False,True,True,labeled:FALSE,563.30,3467,741,0.000782,REASONING:\nEq1: x = y * ((y * (x * x)) * y)\nEq2: x = (x * x) * (x * (y * y))\n\nStep 1: Extract Features\nEq1: x = P where P = y * ((y * (x * x)) * y)\nEq2: x = S where S = (x * x) * (x * (y * y))\n
saircommunity_0020,True,False,False,True,labeled:FALSE,617.87,3472,1262,0.000991,REASONING:\nEq1: x = (y * (((y * z) * x) * y)) * z\nEq2: x = y * (((y * z) * (x * z)) * y)\n\nStep 1: Extract Features\nEq1: x = T where T = (y * (((y * z) * x) * y)) * z.\nEq2: x = S where S = y * ((
saircommunity_0021,False,False,True,True,labeled:FALSE,630.25,3458,1031,0.000897,"REASONING:\nEq1: x = (y * x) * (x * z)\nEq2: x = (x * x) * x\n\nStep 1: Extract Features\nEq1: Bare source x = T where T = (y * x) * (x * z).\nWORD(T) = [y, x, x, z].\nSET(T) = {x, y, z}.\nEq2: Bare t"
saircommunity_0022,True,False,False,True,labeled:FALSE,260.94,3463,1077,0.000916,REASONING:\nEq1: x = x * (((y * x) * z) * y)\nEq2: x = x * ((y * x) * y)\n\nStep 1: Extract Features\nEq1 is bare: x = T where T = x * (((y * x) * z) * y).\nEq2 is bare: x = S where S = x * ((y * x) *
saircommunity_0023,False,False,True,True,labeled:FALSE,289.60,3467,1073,0.000915,"REASONING:\nEq1: x = (((y * y) * x) * x) * y\nEq2: x = ((x * y) * x) * (y * y)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (((y * y) * x) * x) * y. Bare source.\nEq2: LHS = x, RHS = ((x * y) * x)"
saircommunity_0024,True,False,False,True,labeled:FALSE,434.47,3472,1032,0.000899,"REASONING:\nEq1: x = (y * ((x * (y * z)) * y)) * z\nEq2: x = (((y * x) * z) * (y * z)) * y\n\nStep 1: Extract Features\nEq1: x = P where P = (y * ((x * (y * z)) * y)) * z\n- rv = 3 (x, y, z)\n- Lx = F"
saircommunity_0025,False,False,True,True,labeled:FALSE,560.57,3458,1144,0.000942,"REASONING:\nEq1: x = (y * x) * (x * z)\nEq2: x = x * (x * x)\n\nStep 1: Extract Features\nEq1: bare (x = T), T = (y * x) * (x * z). WORD(T) = [y, x, x, z]. SET(T) = {x, y, z}.\nEq2: bare (x = S), S = "
saircommunity_0026,True,False,False,True,labeled:FALSE,632.14,3473,1145,0.000944,REASONING:\nEq1: x = ((y * (x * y)) * z) * (y * z)\nEq2: x = (y * ((x * (y * z)) * y)) * z\n\nStep 1: Extract Features\nEq1: x = ((y * (x * y)) * z) * (y * z)\n- Leftmost variable: y\n- Rightmost vari
saircommunity_0027,False,False,True,True,labeled:FALSE,70.35,3472,1176,0.000956,REASONING:\nEq1: x = y * (x * (x * (y * (z * z))))\nEq2: x = y * (x * (x * (x * (x * z))))\n\nStep 1: Extract Features\nEq1: x = T where T = y * (x * (x * (y * (z * z))))\nEq2: x = S where S = y * (x 
saircommunity_0028,True,False,False,True,labeled:FALSE,76.41,3467,1141,0.000942,REASONING:\nEq1: x = (y * x) * ((x * x) * y)\nEq2: x = (((x * x) * x) * x) * x\n\nStep 1: Extract Features\nEq1: Bare source x = P where P = (y * x) * ((x * x) * y).\nEq2: Bare target x = S where S = 
saircommunity_0029,False,False,True,True,labeled:FALSE,136.16,3466,989,0.000881,"REASONING:\nEq1: x = y * ((x * (y * x)) * y)\nEq2: x = x * ((y * (x * y)) * x)\n\nStep 1: Extract Features\nEq1: x = T where T = y * ((x * (y * x)) * y).\nWORD(T) = [y, x, y, x, y].\nSET(T) = {x, y}.\"
saircommunity_0030,True,True,True,True,labeled:TRUE,318.16,3467,611,0.000730,REASONING:\nEq1: x = (y * x) * (z * (w * u))\nEq2: x = y * ((y * (y * y)) * y)\n\nStep 1: Extract Features\nEq1 is bare: x = T where T = (y * x) * (z * (w * u)).\nEq2 is bare: x = S where S = y * ((y 
saircommunity_0031,False,False,True,True,labeled:FALSE,273.80,3473,1260,0.000990,REASONING:\nEq1: x = ((((y * y) * z) * x) * x) * z\nEq2: x = y * (x * (z * (y * (z * w))))\n\nStep 1: Extract Features\nEq1 is bare: x = P where P = ((((y * y) * z) * x) * x) * z.\nEq2 is bare: x = S 
saircommunity_0032,True,False,False,True,labeled:FALSE,292.81,3463,1060,0.000909,"REASONING:\nEq1: x = (x * (y * (z * y))) * x\nEq2: x = (x * (y * y)) * x\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (x * (y * (z * y))) * x. Bare source.\nEq2: LHS = x, RHS = (x * (y * y)) * x. "
saircommunity_0033,False,False,True,True,labeled:FALSE,356.05,3472,1114,0.000932,REASONING:\nEq1: x = y * (((x * (z * z)) * y) * y)\nEq2: x = y * (y * (y * (y * (x * z))))\n\nStep 1: Extract Features\nEq1: x = P where P = y * (((x * (z * z)) * y) * y)\nEq2: x = S where S = y * (y 
saircommunity_0034,True,True,True,True,labeled:TRUE,430.10,3463,326,0.000615,"REASONING: Eq1 is x = (y * (x * (x * x))) * z. This is a bare equation of the form x = P.\nFeatures of P = (y * (x * (x * x))) * z:\n- rv (distinct variables): {x, y, z} -> 3\n- Lx (x is leftmost): No"
saircommunity_0035,False,False,True,True,labeled:FALSE,553.86,3466,827,0.000816,REASONING:\nEq1: x = y * ((x * (y * y)) * x)\nEq2: x = (x * (x * (y * y))) * y\n\nStep 1: Extract Features\nEq1: x = P where P = y * ((x * (y * y)) * x)\nEq2: x = S where S = (x * (x * (y * y))) * y\n
saircommunity_0036,True,False,False,True,labeled:FALSE,558.26,3473,983,0.000879,"REASONING:\nEq1: x = ((y * (z * (x * y))) * z) * y\nEq2: x = y * ((((z * x) * y) * z) * z)\n\nStep 1: Extract Features\nEq1: x = P where P = ((y * (z * (x * y))) * z) * y\n- rv = 3 (x, y, z)\n- Lx = F"
saircommunity_0037,False,False,True,True,labeled:FALSE,692.42,3472,1301,0.001006,REASONING:\nEq1: x = (y * (y * ((z * z) * x))) * y\nEq2: x = y * (y * (z * (w * (z * w))))\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = (y * (y * ((z * z) * x))) * y.\nEq2: Bare source x =
saircommunity_0038,True,False,False,True,labeled:FALSE,613.71,3463,1367,0.001032,REASONING:\nEq1: x = (y * (x * (z * x))) * x\nEq2: x = (y * (x * x)) * x\n\nStep 1: Extract Features\nEq1: Bare source x = T where T = (y * (x * (z * x))) * x.\nEq2: Bare source x = S where S = (y * (
saircommunity_0039,False,False,True,True,labeled:FALSE,656.36,3467,1115,0.000931,REASONING:\nEq1: x = y * (x * ((x * y) * x))\nEq2: x = (x * x) * (x * (x * x))\n\nStep 1: Extract Features\nEq1: Bare source x = P where P = y * (x * ((x * y) * x)).\nEq2: Bare target x = S where S = 
saircommunity_0040,True,False,False,True,labeled:FALSE,50.41,3473,1100,0.000926,REASONING:\nEq1: x = (y * ((x * (z * z)) * y)) * y\nEq2: x = ((y * (x * y)) * y) * (z * z)\n\nStep 1: Extract Features\nEq1 is bare: x = P where P = (y * ((x * (z * z)) * y)) * y.\nEq2 is bare: x = S 
saircommunity_0041,False,False,True,True,labeled:FALSE,135.46,3454,483,0.000677,REASONING: Eq1 is x = (x * x) * x. This is a bare source of the form x = P.\nFeatures of P = (x * x) * x:\n- rv = 1 (only variable x)\n- Lx = TRUE (leftmost is x)\n- Rx = TRUE (rightmost is x)\n- xTop
saircommunity_0042,True,False,False,True,labeled:FALSE,218.82,3472,1178,0.000957,REASONING:\nEq1: x = y * (z * (((x * z) * y) * y))\nEq2: x = (y * (y * ((x * y) * z))) * z\n\nStep 1: Extract Features\nEq1: x = P where P = y * (z * (((x * z) * y) * y))\nEq2: x = S where S = (y * (y
saircommunity_0043,False,False,True,True,labeled:FALSE,231.40,3473,918,0.000853,"REASONING: Eq1 is x = (y * z) * (x * (z * (z * z))). This is a bare equation of the form x = P.\nExtracting features for P = (y * z) * (x * (z * (z * z))):\n- rv (distinct variables): {x, y, z} -> 3\n"
