problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
saircommunity_0001,False,False,True,True,labeled:FALSE,5348.56,3280,1128,0.000910,"REASONING:\nSTEP 1:\nEq1: x = y * (((x * y) * x) * y)\nEq2: x = x * (((y * x) * y) * x)\n\nSTEP 2:\n2.1 Exact renaming: Eq1 is x = y * (((x * y) * x) * y). Renaming x->y, y->x gives y = x * (((y * x) "
saircommunity_0002,True,False,False,True,labeled:FALSE,2277.98,3287,1318,0.000987,"REASONING:\nEq1: x = ((y * ((z * y) * x)) * y) * z\nEq2: x = (y * ((z * x) * z)) * (z * y)\n\nSTEP 1: EXTRACT FEATURES\nEq1 is bare (x = T).\nT = ((y * ((z * y) * x)) * y) * z\nWORD(T) = [y, z, y, x, "
saircommunity_0003,False,False,True,True,labeled:FALSE,2312.59,3281,1219,0.000947,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (x * ((y * x) * y)) * y\nEq2: x = (x * y) * ((x * x) * x)\n\nEq1 is bare.\nLHS: x\nRHS: (x * ((y * x) * y)) * y\nWORD(RHS): x, y, x, y, y\nSET(RHS): {x, "
saircommunity_0004,True,False,False,True,labeled:FALSE,2317.93,3286,1276,0.000970,"REASONING:\nSTEP 1: Extract Features\nEq1: x = (y * ((z * x) * (y * z))) * y\nEq2: x = y * ((z * (x * (z * y))) * z)\n\nEq1 is bare (x = T).\nT = (y * ((z * x) * (y * z))) * y\nWORD(T) = [y, z, x, y, "
saircommunity_0005,False,False,True,True,labeled:FALSE,2330.23,3281,1011,0.000864,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (x * (x * (y * y)))\nEq2: x = (x * y) * (x * (y * y))\n\nEq1 is bare.\nNormalized Eq1: x = y * (x * (x * (y * y)))\nP = y * (x * (x * (y * y)))\nrhsV
saircommunity_0006,True,True,True,True,labeled:TRUE,2334.56,3286,530,0.000672,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * ((z * (x * (z * y))) * z)\nEq2: x = (y * ((z * y) * (x * z))) * y\nEq1 is bare (x = T).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No match.\n2.5: Eq1 is x = y
saircommunity_0007,False,False,True,True,labeled:FALSE,2361.17,3280,1013,0.000864,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * ((y * (y * x)) * x)\nEq2: x = x * ((y * (x * x)) * x)\n\nEq1 is bare.\nNormalized Eq1: x = y * ((y * (y * x)) * x)\nP = y * ((y * (y * x)) * x)\nrhsV
saircommunity_0008,True,False,False,True,labeled:FALSE,2364.64,3286,1215,0.000946,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * ((z * y) * ((x * y) * z))\nEq2: x = ((y * ((z * y) * x)) * y) * z\nEq1 is bare (x = T).\nT = y * ((z * y) * ((x * y) * z))\nWORD(T) = [y, z, y, x, y,"
saircommunity_0009,False,False,True,True,labeled:FALSE,2385.02,3277,1221,0.000947,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((x * (x * y)) * y) * y\nEq2: x = x * ((y * y) * x)\n\nEq1 is bare (x = T).\nT = ((x * (x * y)) * y) * y\nWORD(T) = [x, x, y, y, y]\nSET(T) = {x, y}\nAB("
saircommunity_0010,True,False,False,True,labeled:FALSE,2396.62,3286,1402,0.001021,"REASONING:\nEq1: x = y * (((y * z) * (x * z)) * y)\nEq2: x = y * (x * ((y * (z * y)) * z))\n\nSTEP 1: EXTRACT FEATURES\nEq1: x = y * (((y * z) * (x * z)) * y)\n- Leftmost: x (LHS), y (RHS)\n- Rightmos"
