problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,913.49,3525,7219,0.003381,"REASONING:\n1. Extract Features:\n- Eq1: x = y * (y * ((x * y) * x))\n  - LHS: x (bare)\n  - RHS: y * (y * ((x * y) * x))\n  - WORD(LHS): [x], WORD(RHS): [y, y, x, y, x]\n  - PARITY(LHS): {x:1}, PARIT"
hard1_0002,False,False,True,True,labeled:FALSE,4378.76,3526,5822,0.002822,"REASONING: Eq1 is x * (y * z) = (z * w) * w. Eq2 is x * (y * x) = (x * y) * z.\nStep 1: Extract Features.\nEq1: LHS = x * (y * z), RHS = (z * w) * w.\nEq2: LHS = x * (y * x), RHS = (x * y) * z.\nStep "
hard1_0003,True,True,True,True,labeled:TRUE,2811.78,3523,2340,0.001429,"REASONING: Eq1 is bare and can be renamed x = T * x with T = ((y * y) * z). T does not contain x, which forces the right projection a * b = b. Applying right projection to Eq2: LHS = x, RHS = x * (((y"
hard1_0004,False,False,True,True,labeled:FALSE,484.00,3526,5386,0.002648,"REASONING: The given implication is (x * y) * x = (x * z) * w ⇒ x * (y * y) = x * (z * y).\n1.  Extract features of Eq1: (x * y) * x = (x * z) * w. It is not bare, so rules 2.3, 2.5, 2.6, 2.7, 2.8, 2."
hard1_0005,False,False,True,True,labeled:FALSE,2004.92,3525,6706,0.003176,"REASONING:\n1. Extract Features:\nEq1: x = ((y * z) * (z * x)) * y\nLHS: x\nRHS: ((y * z) * (z * x)) * y\nLeftmost: y, Rightmost: y, WORD(RHS): [y, z, z, x, y], SET(RHS): {x, y, z}, PARITY(RHS): x:1, "
hard1_0006,False,False,True,True,labeled:FALSE,2727.22,3518,1070,0.000921,REASONING: leftmost exclusion\nVERDICT: FALSE
hard1_0007,True,True,True,True,labeled:TRUE,82.17,3525,1907,0.001256,"REASONING: Eq1 is bare and can be renamed to the form x = T * x, where T = (y * (y * (y * z))). The variables in T are {y, z}, and x is not among them. According to Rule 2.7 (Right projection), this f"
hard1_0008,False,True,False,True,labeled:TRUE,1644.38,3526,1495,0.001092,"REASONING: Eq1 is of the form x = x * T where T = (y * ((y * z) * y)). The variables in T are {y, z}, which does not include x. According to Rule 2.6 (left projection), this forces the magma operation"
hard1_0009,False,False,True,True,labeled:FALSE,2701.91,3526,7036,0.003308,"REASONING:\n1. Extract Features:\nEq1: x = ((x * x) * (y * z)) * y\nLHS: x, RHS: ((x * x) * (y * z)) * y\nLeftmost: x, Rightmost: y\nWORD(LHS): [x], WORD(RHS): [x, x, y, z, y]\nPARITY(LHS): x:1, y:0, "
hard1_0010,False,False,True,True,labeled:FALSE,3552.83,3526,4977,0.002484,"REASONING: Eq1 is (x * x) * y = (y * y) * z and Eq2 is x * (y * y) = x * (z * z).\nStep 1: Eq1 is not bare. Eq2 is not bare.\nStep 2: No rules fire. Eq1 is not an identity, not a singleton collapse, n"
hard1_0011,False,False,True,True,labeled:FALSE,3962.52,3528,1927,0.001265,"REASONING: Eq1 has the same leftmost variable (x) on both sides. Eq2 has different leftmost variables (x on the LHS, y on the RHS). According to the leftmost-variable exclusion rule, this implies the "
hard1_0012,False,False,True,True,labeled:FALSE,2431.85,3526,7708,0.003577,"REASONING: Eq1 is (x * y) * x = (z * w) * u. This implies that for any a, b, c, (a * b) * c = C for some constant C. Let C = 0. We can construct a magma where this holds but Eq2: x * (x * x) = x * (y "
