problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,labeled:FALSE,18.25,3097,18,0.000315,VERDICT: FALSE\nREASONING: default false fallback \nPROOF:
hard2_0002,False,False,True,True,labeled:FALSE,106.02,3098,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0003,True,False,False,True,labeled:FALSE,126.34,3095,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0004,True,False,False,True,labeled:FALSE,179.61,3097,229,0.000383,"VERDICT: FALSE\nREASONING: Apply STEP 1. \nEq1: x = (((y * y) * x) * x) * z \nEq2: x = y * ((x * (y * z)) * w)\nExtract features for Eq1 and Eq2:\n- Eq1: leftmost variable = x, rightmost variable = z,"
hard2_0005,True,False,False,True,labeled:FALSE,205.10,3097,230,0.000383,"VERDICT: FALSE\nREASONING: Apply STEP 1 to extract features from Eq1: x = y * ((z * (z * x)) * y) and Eq2: x = (x * ((x * y) * y)) * x.\nFor Eq1: WORD = [y, z, z, x, y], PARITY = [y:1, z:2, x:1], SET "
hard2_0006,True,False,False,True,labeled:FALSE,207.22,3098,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0007,False,False,True,True,labeled:FALSE,230.06,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0008,True,False,False,True,labeled:FALSE,245.77,3097,57,0.000328,"VERDICT: FALSE\nREASONING: default false fallback \nNo decisive route was found in STEPs 2-6 to prove the implication true or false, so the process defaults to a false verdict due to the inability to "
hard2_0009,False,False,True,True,labeled:FALSE,326.11,3097,920,0.000604,"VERDICT: FALSE\nREASONING: Apply STEP 1 to extract features from Eq1: x = y * ((x * z) * (z * y)) and Eq2: x = ((x * y) * (y * y)) * y.\nFor Eq1, WORD = [x, y, z], PARITY = [x: odd, y: even, z: even],"
hard2_0010,False,False,True,True,labeled:FALSE,3.82,3098,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0011,False,False,True,True,labeled:FALSE,48.35,3094,467,0.000459,"VERDICT: FALSE\nREASONING: Analyzing the given equations, we first look at the structure of Eq1: x = y * ((x * (x * y)) * y). This equation is not bare, as it does not have a single variable on one si"
hard2_0012,False,False,True,True,labeled:FALSE,44.76,3097,14,0.000314,VERDICT: FALSE\nREASONING: default false fallback
hard2_0013,False,False,True,True,labeled:FALSE,69.98,3097,18,0.000315,VERDICT: FALSE\nREASONING: default false fallback \nPROOF:
hard2_0014,False,False,True,True,labeled:FALSE,96.96,3097,236,0.000385,"VERDICT: FALSE\nREASONING: Apply STEP 1. EXTRACT FEATURES to Eq1: x = y * ((x * (x * y)) * y) and Eq2: (x * y) * z = (z * y) * x.\nFor Eq1: WORD = [x,y,x,x,y,y], PARITY = {x:odd,y:even}, SET = {x,y}, "
hard2_0015,False,False,True,True,labeled:FALSE,120.46,3096,18,0.000315,VERDICT: FALSE\nREASONING: default false fallback \nPROOF:
hard2_0016,False,False,True,True,labeled:FALSE,192.40,3096,850,0.000582,"VERDICT: FALSE\nREASONING: Apply STEP 1. EXTRACT FEATURES to Eq1: x = x * (y * ((y * z) * y)). \nEq1 is bare, so we proceed to STEP 2. TRUE ROUTES to check for any immediate true conditions. \nSince E"
