problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,VERDICT: FALSE,159.42,2533,1024,0.001048,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = y * (y * ((x * y) * x)). In a left-zero magma (a*b = a), the left side is x, the right side simplifies to y (since each product returns its l"
hard1_0002,False,False,True,True,VERDICT: FALSE,253.69,2534,572,0.000876,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x*(y*z) = (z*w)*w. In a left-zero magma (a*b = a), left side becomes x, right side becomes z. Equation 1 holds only if x = z for all assignments,"
hard1_0003,True,False,False,True,VERDICT: FALSE,366.92,2531,357,0.000794,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = ((y * y) * z) * x. In a left-zero magma (a*b = a), the left side is x, the right side becomes ((y*y)*z)*x → ((y*y)*z) → (y*y) → y. So Equatio"
hard1_0004,False,False,True,True,VERDICT: FALSE,60.19,2528,279,0.000763,"VERDICT: FALSE  \nRULE: left-zero witness  \n\nEquation 1: (x*y)*x = (x*z)*w. In a left-zero magma (a*b = a), both sides reduce to x*y and x*z respectively, which are just x and x, so the equation hol"
hard1_0005,False,False,True,True,VERDICT: FALSE,225.92,2533,252,0.000754,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = ((y * z) * (z * x)) * y  \nEquation 2: x * x = (y * (y * y)) * y  \n\nConsider the left-zero magma where a*b = a for all a,b.  \nIn this magm"
hard1_0006,False,False,True,True,VERDICT: FALSE,350.03,2520,135,0.000707,"VERDICT: FALSE  \nRULE: left-zero witness  \n\nEquation 1: x * x = (x * y) * z.  \nIn a left-zero magma (a*b = a), the left side becomes x, and the right side becomes (x*y)*z = x*y = x, so Eq1 holds. "
hard1_0007,True,False,False,True,VERDICT: FALSE,49.15,2527,1024,0.001046,VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = (y * (y * (y * z))) * x  \nEquation 2: x * y = z * (w * (w * y))  \n\nConsider the magma where the operation is left projection: a * b = a fo
hard1_0008,False,False,True,True,VERDICT: FALSE,222.32,2534,664,0.000911,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = x * (y * ((y * z) * y))  \nEquation 2: x = x * ((x * (x * x)) * x)\n\nConsider the left-zero magma: a*b = a for all a,b.  \nIn this magma, Eq"
hard1_0009,False,False,True,True,VERDICT: FALSE,360.61,2528,1024,0.001046,"VERDICT: FALSE\nRULE: left-zero witness\n\nThe first equation is bare: left side x, right side product.\nCheck left projection: Equation 1 does not force left-projection behavior because x appears ins"
hard1_0010,False,False,True,True,VERDICT: FALSE,11.91,2528,69,0.000683,"VERDICT: FALSE  \nRULE: left-zero witness  \n\nEquation 1 holds in the left-zero magma (a*b = a): both sides reduce to x.  \nEquation 2 becomes x*y = x*z, which fails when y ≠ z.  \nThus Equation 1 do"
hard1_0011,False,False,True,True,VERDICT: FALSE,198.94,2536,141,0.000713,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = (x*(y*z))*(w*y). In a left-zero magma (a*b = a), left side is x, right side collapses to leftmost variable x (since (x*(y*z)) becomes x, then"
hard1_0012,False,False,True,True,VERDICT: FALSE,324.34,2534,455,0.000832,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: (x*y)*x = (z*w)*u. In a left-zero magma (a*b = a), both sides reduce to their leftmost variable: left side becomes x*y then x, right side becomes"
hard1_0013,True,False,False,True,VERDICT: FALSE,42.47,2526,1084,0.001069,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x * y = ((z * y) * x) * x  \nIn the left-zero magma (a*b = a), the left side becomes x, and the right side becomes ((z * y) * x) * x → (z * y) * "
hard1_0014,False,False,True,True,VERDICT: FALSE,147.40,2529,346,0.000789,"VERDICT: FALSE\nRULE: left-zero witness\n\nEquation 1: x = (y*x)*(x*(x*z))\nEquation 2: x = y*(z*(z*(x*y)))\n\nConsider the left-zero magma where a*b = a for all a,b. Under this interpretation, Equati"
