problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,True,False,True,TRUE,39.22,2511,1024,0.000292,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * (y * ((x * y) * x))\n\nEq2: x * y = ((z * x) * w) * y\n\nWe must follow steps.\n\nStep0: Quick meta-check. Both equations are not 
hard1_0002,False,True,False,True,TRUE,238.09,2497,1024,0.000292,"We need to decide if Eq1: x * (y * z) = (z * w) * w implies Eq2: x * (y * x) = (x * y) * z over all magmas.\n\nWe must follow steps.\n\nFirst, read equations.\n\nEq1: left side L1 = x * (y * z). Right"
hard1_0003,True,True,True,True,VERDICT: TRUE,341.45,2494,681,0.000227,VERDICT: TRUE\nRULE: right projection
hard1_0004,False,True,False,True,TRUE,33.76,2512,1024,0.000293,"We need to decide if (x * y) * x = (x * z) * w implies x * (y * y) = x * (z * y) over all magmas.\n\nWe must follow steps.\n\nFirst, read equations.\n\nEq1: (x * y) * x = (x * z) * w\n\nEq2: x * (y * "
hard1_0005,False,True,False,True,TRUE,212.92,2496,1024,0.000292,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = ((y * z) * (z * x)) * y\n\nEq2: x * x = (y * (y * y)) * y\n\nWe need to see if Eq1 forces Eq2 in all magmas.\n\nFirst, apply steps.\n\"
hard1_0006,False,False,True,True,VERDICT: FALSE,334.11,2489,822,0.000253,"VERDICT: FALSE\nRULE: leftmost exclusion\n\nBoth sides of the premise equation have the same leftmost variable x, while the target equation’s sides have leftmost variables x and y respectively. Hence "
hard1_0007,True,True,True,True,true,23.11,2511,1024,0.000292,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (y * (y * (y * z))) * x\n\nEq2: x * y = z * (w * (w * y))\n\nWe must follow steps.\n\nStep0: read equations.\n\nEq1: left side variabl
hard1_0008,False,True,False,True,VERDICT: TRUE,172.59,2514,816,0.000253,VERDICT: TRUE\nRULE: left projection\n\nThe equation x = x * (y * ((y * z) * y)) forces a left‑projection law a * b = a in every magma.  \nUnder this law the right‑hand side of the second equation red
hard1_0009,False,True,False,True,TRUE,311.99,2510,1024,0.000292,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = ((x * x) * (y * z)) * y\n\nEq2: x = ((x * (y * x)) * x) * y\n\nWe need to see if Eq1 forces Eq2 in all magmas.\n\nFirst, apply steps.\"
hard1_0010,False,False,True,True,FALSE,18.64,2512,1024,0.000293,"We need to decide if (x * x) * y = (y * y) * z implies x * (y * y) = x * (z * z) over all magmas.\n\nWe must follow steps.\n\nFirst, read equations.\n\nEq1: (x * x) * y = (y * y) * z\n\nEq2: x * (y * "
hard1_0011,False,True,False,True,TRUE,167.37,2510,1024,0.000292,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (x * (y * z)) * (w * y)\n\nEq2: x = (y * (z * w)) * (u * z)\n\nWe need to see if Eq1 forces Eq2 in all magmas.\n\nFirst, check steps.\"
hard1_0012,False,True,False,True,VERDICT: TRUE,310.64,2510,827,0.000255,"VERDICT: TRUE\nRULE: constant operation\nThe equation \((x*y)*x = (z*w)*u\) has disjoint variable sets on its two sides, forcing the binary operation to be constant in every magma. With a constant ope"
hard1_0013,True,False,False,True,false,355.01,2513,1024,0.000293,"We need to decide if Eq1: x * y = ((z * y) * x) * x implies Eq2: x * y = y * (y * (y * y)) over all magmas.\n\nWe must follow steps.\n\nFirst, parse equations.\n\nEq1: left side: x * y. Right side: (("
hard1_0014,False,True,False,True,TRUE,69.08,2498,1024,0.000292,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (y * x) * (x * (x * z))\n\nEq2: x = y * (z * (z * (x * y)))\n\nWe need to see if Eq1 forces Eq2 in all magmas.\n\nFirst, check steps.\"
hard1_0015,False,True,False,True,true,304.86,2507,1024,0.000292,"We need to decide if Eq1: x * x = x * (y * (z * y)) implies Eq2: x * (x * x) = x * (y * x) over all magmas.\n\nWe must follow steps.\n\nFirst, parse equations.\n\nEq1: left side L1 = x * x. Right side"
hard1_0016,False,True,False,True,TRUE,476.69,2514,1024,0.000293,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (x * y) * (x * (y * z))\n\nEq2: x = (x * y) * (x * (z * y))\n\nWe need to see if Eq1 forces Eq2 in any magma.\n\nWe must follow steps.
hard1_0017,False,False,True,True,false,31.02,2510,1024,0.000292,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * (((x * y) * x) * y)\n\nEq2: x = ((x * (y * z)) * z) * y\n\nWe must follow steps.\n\nFirst, read both equations.\n\nEq1: left side "
hard1_0018,True,True,True,True,true,233.90,2511,1024,0.000292,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = ((y * x) * y) * (z * z)\n\nEq2: x = x * (((x * y) * x) * y)\n\nWe must follow steps.\n\nStep0: Quick meta-check.\n\nBoth equations are
hard1_0019,False,True,False,True,TRUE,291.92,2495,1024,0.000292,"We need to decide if Eq1: x * y = (x * (y * x)) * z implies Eq2: x * y = (x * (x * z)) * x over all magmas.\n\nWe must follow steps.\n\nFirst, rewrite equations.\n\nEq1: left side: x*y. Right side: (x"
hard1_0020,False,,,False,,17.84,2512,1024,0.000293,"We need to decide if equation1: x * (y * z) = (x * x) * z implies equation2: x * (y * z) = (y * y) * x over all magmas.\n\nWe must follow steps.\n\nFirst, note both equations are not bare (both sides "
hard1_0021,False,True,False,True,TRUE,380.17,2511,1024,0.000292,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * ((y * x) * (x * y))\n\nEq2: x = (y * (x * y)) * x\n\nWe must follow steps.\n\nStep0: Quick meta-check.\n\nBoth equations are bare?
hard1_0022,False,True,False,True,TRUE,297.75,2513,1024,0.000293,"We need to decide if Eq1: x * y = (y * (y * x)) * x implies Eq2: x * y = (x * y) * (x * y) over all magmas.\n\nWe must follow steps.\n\nFirst, parse equations.\n\nEq1: left side L1 = x * y. Right side"
hard1_0023,True,,,False,,55.08,2505,1024,0.000292,
hard1_0024,False,True,False,True,TRUE,61.44,2515,1024,0.000293,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * (y * ((x * y) * x))\n\nEq2: x = x * ((y * z) * (z * x))\n\nWe must follow steps.\n\nFirst, parse equations.\n\nEq1: left side vari"
hard1_0025,False,False,True,True,FALSE,261.10,2512,1024,0.000293,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = ((y * (z * z)) * x) * y\n\nEq2: x = y * ((y * (z * x)) * z)\n\nWe need to see if Eq1 forces Eq2 in all magmas.\n\nWe must follow steps
hard1_0026,False,True,False,True,TRUE,343.41,2513,1024,0.000293,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = ((x * (y * z)) * z) * x\n\nEq2: x * x = x * (y * (y * x))\n\nWe must follow steps.\n\nStep0: read equations.\n\nEq1: left side variabl
