problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,144.33,3101,1629,0.000430,VERDICT: FALSE\nREASONING: default false fallback
hard1_0002,False,True,False,True,labeled:TRUE,278.58,3102,1858,0.000474,"VERDICT: TRUE\nREASONING: The premise Eq1 forces the binary operation to be constant, and in any constant magma the conclusion Eq2 holds automatically.\nPROOF: Assume a magma (M,*) satisfies x * (y * "
hard1_0003,True,True,True,True,labeled:TRUE,362.35,3099,456,0.000208,VERDICT: TRUE\nREASONING: The premise of the left‑projection rule is satisfied.  \nEq1 is a bare equation of the form  \n\n x = x * T  \n\nwith  \n\n T = ((y * y) * z)  \n\nwhich does **not** contain 
hard1_0004,False,False,True,True,labeled:FALSE,89.31,3102,1669,0.000438,"VERDICT: FALSE\nREASONING: COUNTEREXAMPLE\nMagma with elements {0,1} and operation * defined by the table:\n* | 0 1\n0 | 0 1\n1 | 0 0\n\nCheck Eq1: (x*y)*x = (x*z)*w holds for all x,y,z,w (the result "
hard1_0005,False,False,True,True,labeled:FALSE,235.99,3101,2096,0.000519,VERDICT: FALSE\nREASONING: default false fallback
hard1_0006,False,False,True,True,labeled:FALSE,352.37,3094,436,0.000204,VERDICT: FALSE\nREASONING: leftmost-variable exclusion
hard1_0007,True,True,True,True,labeled:TRUE,179.08,3101,5141,0.001098,"VERDICT: TRUE\nREASONING: Eq1 is bare with form x = T * x where T = (y * (y * (y * z))) does not contain x. By rule 2.7 (right projection), Eq1 forces the identity a * b = b for all elements. Under th"
hard1_0008,False,False,True,True,labeled:FALSE,222.63,3102,1711,0.000446,VERDICT: FALSE\nREASONING: default false fallback
hard1_0009,False,False,True,True,labeled:FALSE,337.74,3102,1012,0.000313,VERDICT: FALSE\nREASONING: default false fallback
hard1_0010,False,True,False,True,labeled:TRUE,90.49,3102,2187,0.000537,"VERDICT: TRUE\nREASONING: From the premise (x * x) * y = (y * y) * z we deduce that all squares are equal to a single element e (since for any x, x*x = e). Substituting this into the premise gives e *"
hard1_0011,False,False,True,True,labeled:FALSE,189.37,3104,1414,0.000390,VERDICT: FALSE\nREASONING: default false fallback
hard1_0012,False,False,True,True,labeled:FALSE,308.09,3102,513,0.000218,VERDICT: FALSE\nREASONING: default false fallback
hard1_0013,True,True,True,True,labeled:TRUE,58.34,3100,1835,0.000470,"VERDICT: TRUE\nREASONING: The premise equation forces the binary operation to be constant in every magma, and any constant magma trivially satisfies the target equation.\nPROOF: \n1. Assume a magma (M"
hard1_0014,False,False,True,True,labeled:FALSE,149.88,3103,828,0.000278,VERDICT: FALSE\nREASONING: default false fallback
hard1_0015,False,False,True,True,labeled:FALSE,310.52,3101,1230,0.000355,VERDICT: FALSE\nREASONING: default false fallback
hard1_0016,False,False,True,True,labeled:FALSE,403.22,3104,820,0.000277,VERDICT: FALSE\nREASONING: default false fallback
hard1_0017,False,False,True,True,labeled:FALSE,123.01,3102,1778,0.000459,VERDICT: FALSE\nREASONING: default false fallback
hard1_0018,True,False,False,True,labeled:FALSE,307.19,3103,2495,0.000595,VERDICT: FALSE\nREASONING: default false fallback
hard1_0019,False,True,False,True,labeled:TRUE,430.98,3100,1714,0.000447,"VERDICT: TRUE\nREASONING: The premise Eq1 forces the binary operation to be constant, which makes Eq2 hold automatically.\nPROOF: Assume a magma (M,*) satisfies Eq1 for all elements x,y,z:\n x*y = (x*"
hard1_0020,False,False,True,True,labeled:FALSE,59.68,3102,427,0.000202,VERDICT: FALSE\nREASONING: leftmost exclusion\nPROOF:
hard1_0021,False,False,True,True,labeled:FALSE,233.35,3099,1505,0.000407,VERDICT: FALSE\nREASONING: default false fallback
