problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,labeled:FALSE,109.57,3532,793,0.000812,"REASONING:\nEq1: x * (y * z) = (y * w) * w\nEq2: x * (y * y) = (z * w) * u\n\nStep 1: Extract Features\nEq1: LHS = x * (y * z), RHS = (y * w) * w.\nWORD(LHS) = [x, y, z], WORD(RHS) = [y, w, w].\nSET(L"
hard2_0002,False,False,True,True,labeled:FALSE,340.44,3533,951,0.000875,"REASONING:\nEq1: x = y * ((y * (y * x)) * x)\nEq2: x = (y * (z * y)) * (y * x)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = y * ((y * (y * x)) * x). Bare source.\nEq2: LHS = x, RHS = (y * (z * y))"
hard2_0003,True,False,False,True,labeled:FALSE,557.73,3530,749,0.000794,"REASONING:\nEq1: x * y = y * (x * (z * x))\nEq2: x * y = (y * (z * x)) * y\n\nStep 1: Extract Features\nEq1: LHS = x * y, RHS = y * (x * (z * x))\nWORD(LHS) = [x, y], WORD(RHS) = [y, x, z, x]\nPARITY("
hard2_0004,True,True,True,True,labeled:TRUE,760.58,3532,626,0.000745,"REASONING:\nEq1: x = (((y * y) * x) * x) * z\nEq2: x = y * ((x * (y * z)) * w)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (((y * y) * x) * x) * z. Bare source.\nEq2: LHS = x, RHS = y * ((x * (y "
hard2_0005,True,False,False,True,labeled:FALSE,1027.87,3532,1236,0.000989,REASONING:\nEq1: x = y * ((z * (z * x)) * y)\nEq2: x = (x * ((x * y) * y)) * x\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((z * (z * x)) * y).\nEq2: Bare target x = S. S = (x * ((x *
hard2_0006,True,True,True,True,labeled:TRUE,905.60,3533,484,0.000688,REASONING:\nEq1: x = y * (z * (x * (x * w)))\nEq2: x = ((y * y) * x) * (y * y)\n\nStep 1: Extract Features\nEq1: x = T where T = y * (z * (x * (x * w)))\nEq2: x = S where S = ((y * y) * x) * (y * y)\n
hard2_0007,False,False,True,True,labeled:FALSE,976.22,3532,759,0.000798,"REASONING:\nEq1: x * (x * y) = (z * y) * w\nEq2: x * (x * y) = y * (z * y)\n\nStep 1: Extract Features\nEq1: LHS = x * (x * y), RHS = (z * y) * w\nWORD(LHS) = [x, x, y], WORD(RHS) = [z, y, w]\nSET(LHS"
hard2_0008,True,True,True,True,labeled:TRUE,1019.52,3532,485,0.000688,REASONING:\nEq1: x = y * (x * (x * (z * y)))\nEq2: x = x * (x * ((y * y) * x))\n\nStep 1: Extract Features\nEq1: x = P where P = y * (x * (x * (z * y)))\nEq2: x = S where S = x * (x * ((y * y) * x))\n
hard2_0009,False,False,True,True,labeled:FALSE,1177.70,3532,987,0.000889,REASONING:\nEq1: x = y * ((x * z) * (z * y))\nEq2: x = ((x * y) * (y * y)) * y\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((x * z) * (z * y)).\nEq2: Bare target x = S. S = ((x * y) *
hard2_0010,False,False,True,True,labeled:FALSE,45.61,3533,1112,0.000939,"REASONING:\nEq1: x = (x * y) * ((x * y) * y)\nEq2: x = (x * (x * (x * x))) * y\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (x * y) * ((x * y) * y). Bare source.\nEq2: LHS = x, RHS = (x * (x * (x "
hard2_0011,False,False,True,True,labeled:FALSE,260.07,3529,1050,0.000914,REASONING:\nEq1: x = y * ((x * (x * y)) * y)\nEq2: x = (y * (z * z)) * w\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((x * (x * y)) * y).\nEq2: Bare target x = S. S = (y * (z * z)) * 
hard2_0012,False,False,True,True,labeled:FALSE,227.44,3532,1052,0.000915,"REASONING:\nEq1: x = y * (((z * y) * x) * z)\nEq2: (x * x) * y = (y * z) * z\n\nStep 1: Extract Features\nEq1: Bare source x = T.\nT = y * (((z * y) * x) * z)\nWORD(T) = [y, z, y, x, z]\nSET(T) = {x, "
hard2_0013,False,False,True,True,labeled:FALSE,269.81,3532,1152,0.000955,"REASONING:\nEq1: x = (y * ((y * x) * x)) * y\nEq2: x = x * (((x * y) * x) * z)\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (y * ((y * x) * x)) * y. Bare source.\nEq2: LHS = x, RHS = x * (((x * y)"
hard2_0014,False,False,True,True,labeled:FALSE,359.26,3532,718,0.000782,"REASONING:\nEq1: x = y * ((x * (x * y)) * y)\nEq2: (x * y) * z = (z * y) * x\n\nStep 1: Extract Features\nEq1: Bare source x = T.\nT = y * ((x * (x * y)) * y)\nWORD(T) = [y, x, x, y, y]\nSET(T) = {x, "
