problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,76.32,3411,902,0.000838,REASONING:\nEq1: x = y * (y * ((x * y) * x))\nEq2: x * y = ((z * x) * w) * y\n\nStep 1: Extract Features\nEq1 is bare (left side is single variable x).\nEq2 is not bare.\n\nStep 2: True Routes\n2.1-2.
hard1_0002,False,False,True,True,labeled:FALSE,91.20,3412,773,0.000787,"REASONING:\nEq1: x * (y * z) = (z * w) * w\nEq2: x * (y * x) = (x * y) * z\n\nStep 1: Extract Features\nEq1: LHS = x * (y * z), RHS = (z * w) * w.\nWORD(LHS) = [x, y, z], WORD(RHS) = [z, w, w].\nSET(L"
hard1_0003,True,True,True,True,labeled:TRUE,224.00,3409,456,0.000660,REASONING:\nEq1: x = ((y * y) * z) * x\nEq2: x = x * (((y * x) * x) * x)\n\nStep 1: Extract Features\nEq1 is bare (single variable x on left).\nNormalized Eq1: x = ((y * y) * z) * x\nP = ((y * y) * z)
hard1_0004,False,False,True,True,labeled:FALSE,32.63,3412,805,0.000800,REASONING:\nStep 1: Extract Features\nEq1: (x * y) * x = (x * z) * w\nEq2: x * (y * y) = x * (z * y)\n\nStep 2: True Routes\n- 2.1 Exact identity: No.\n- 2.2 Tautological target: No.\n- 2.3 Singleton 
hard1_0005,False,False,True,True,labeled:FALSE,55.98,3411,754,0.000779,REASONING:\nEq1: x = ((y * z) * (z * x)) * y\nEq2: x * x = (y * (y * y)) * y\n\nStep 1: Extract Features\nEq1 is bare (left side is single variable x).\nEq2 is not bare.\n\nStep 2: True Routes\n2.1-2.
hard1_0006,False,False,True,True,labeled:FALSE,158.45,3404,433,0.000650,"REASONING:\nEq1: x * x = (x * y) * z\nEq2: x * x = (y * z) * w\n\nStep 1: Extract Features\nEq1: LHS = x * x, RHS = (x * y) * z.\nEq2: LHS = x * x, RHS = (y * z) * w.\n\nStep 2: True Routes\n- 2.1 Exa"
hard1_0007,True,True,True,True,labeled:TRUE,14.85,3411,545,0.000696,REASONING:\nEq1: x = (y * (y * (y * z))) * x\nEq2: x * y = z * (w * (w * y))\n\nStep 1: Extract Features\nEq1: bare (x on left).\nEq2: not bare.\n\nStep 2: True Routes\n2.1-2.4: Not applicable.\n2.5: 
hard1_0008,False,True,False,True,labeled:TRUE,47.48,3412,371,0.000626,REASONING:\nEq1: x = x * (y * ((y * z) * y))\nEq2: x = x * ((x * (x * x)) * x)\n\nStep 1: Extract Features\nEq1 is bare (single variable x on left).\nNormalized Eq1: x = x * P where P = (y * ((y * z) 
hard1_0009,False,False,True,True,labeled:FALSE,158.74,3412,1215,0.000964,REASONING:\nEq1: x = ((x * x) * (y * z)) * y\nEq2: x = ((x * (y * x)) * x) * y\n\nStep 1: Extract Features\nEq1: Bare source. Left side = x. Right side P = ((x * x) * (y * z)) * y.\nEq2: Bare source. 
hard1_0010,False,False,True,True,labeled:FALSE,16.65,3412,668,0.000745,"REASONING:\nEq1: (x * x) * y = (y * y) * z\nEq2: x * (y * y) = x * (z * z)\n\nStep 1: Extract Features\nEq1: LHS = (x * x) * y, RHS = (y * y) * z.\nEq2: LHS = x * (y * y), RHS = x * (z * z).\n\nStep 2"
hard1_0011,False,False,True,True,labeled:FALSE,93.23,3414,928,0.000849,REASONING:\nEq1: x = (x * (y * z)) * (w * y)\nEq2: x = (y * (z * w)) * (u * z)\n\nStep 1: Extract Features\nEq1: Bare source. Left side = x. Right side P = (x * (y * z)) * (w * y).\nEq2: Bare source. 
hard1_0012,False,False,True,True,labeled:FALSE,149.16,3412,1879,0.001229,"REASONING:\nEq1: (x * y) * x = (z * w) * u\nEq2: x * (x * x) = x * (y * y)\n\nStep 1: Extract Features\nEq1: LHS = (x * y) * x, RHS = (z * w) * u.\nEq1 is not bare.\nEq2: LHS = x * (x * x), RHS = x * "
hard1_0013,True,False,False,True,labeled:FALSE,17.07,3410,749,0.000777,"REASONING:\nEq1: x * y = ((z * y) * x) * x\nEq2: x * y = y * (y * (y * y))\n\nStep 1: Extract Features\nEq1: LHS = x * y, RHS = ((z * y) * x) * x.\nEq2: LHS = x * y, RHS = y * (y * (y * y)).\n\nStep 2"
hard1_0014,False,False,True,True,labeled:FALSE,41.40,3413,1135,0.000932,REASONING:\nEq1: x = (y * x) * (x * (x * z))\nEq2: x = y * (z * (z * (x * y)))\n\nStep 1: Extract Features\nEq1 is bare (left side is single variable x).\nEq2 is bare (left side is single variable x).
hard1_0015,False,False,True,True,labeled:FALSE,108.29,3411,839,0.000813,"REASONING:\nEq1: x * x = x * (y * (z * y))\nEq2: x * (x * x) = x * (y * x)\n\nStep 1: Extract Features\nEq1: LHS = x * x, RHS = x * (y * (z * y))\nEq2: LHS = x * (x * x), RHS = x * (y * x)\n\nStep 2: "
hard1_0016,False,False,True,True,labeled:FALSE,241.09,3414,1122,0.000927,REASONING:\nEq1: x = (x * y) * (x * (y * z))\nEq2: x = (x * y) * (x * (z * y))\n\nStep 1: Extract Features\nEq1 is bare (x on left).\nEq2 is bare (x on left).\n\nStep 2: True Routes\n2.1 Exact renamin
hard1_0017,False,False,True,True,labeled:FALSE,74.33,3412,907,0.000840,REASONING:\nEq1: x = y * (((x * y) * x) * y)\nEq2: x = ((x * (y * z)) * z) * y\n\nStep 1: Extract Features\nEq1 is bare (left side is single variable x).\nEq2 is bare (left side is single variable x).
hard1_0018,True,False,False,True,labeled:FALSE,153.47,3413,1287,0.000993,REASONING:\nEq1: x = ((y * x) * y) * (z * z)\nEq2: x = x * (((x * y) * x) * y)\n\nStep 1: Extract Features\nEq1 is bare (left side is single variable x).\nEq2 is bare (left side is single variable x).
