problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,VERDICT: FALSE,9.41,2601,207,0.000447,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1 is x * (y * z) = (y * w) * w.\n2. The leftmost variable of the left side of Eq1 is x.\n3. The leftmost variable of the right side 
hard2_0002,False,False,True,True,VERDICT: FALSE,497.62,2602,410,0.000528,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Equation 1 is $x = y * ((y * (y * x)) * x)$. In a right-zero magma ($a*b = b$), the rightmost variable of the product is $x$, so Equation 1 b"
hard2_0003,True,False,False,True,VERDICT: FALSE,664.44,2599,253,0.000465,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 (x * y = y * (x * (z * x))) simplifies to y = x, which is not true for all x, y. Wait, the rule"
hard2_0004,True,True,True,True,VERDICT: TRUE,718.27,2601,244,0.000462,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = (((y * y) * x) * x) * z.\n2. Normalize Equation 1: x is the single variable on the left. The product side P is (((y *
hard2_0005,True,True,True,True,VERDICT: TRUE,969.79,2601,323,0.000493,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: $x = y * ((z * (z * x)) * y)$.\n2. Normalize Equation 1: $x$ is the single variable on the left. The product side $P$ is 
hard2_0006,True,True,True,True,VERDICT: TRUE,972.65,2602,200,0.000444,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (z * (x * (x * w))).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * (z
hard2_0007,False,False,True,True,VERDICT: FALSE,1526.27,2601,301,0.000485,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 becomes y = w. This is not an identity, so Equation 1 does not hold for all right-zero magmas.\"
hard2_0008,True,True,True,True,VERDICT: TRUE,1162.44,2601,224,0.000454,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (x * (x * (z * y))).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * (x
hard2_0009,False,True,False,True,VERDICT: TRUE,1416.84,2601,1024,0.000774,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((x * z) * (z * y)).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0010,False,False,True,True,VERDICT: FALSE,39.69,2602,388,0.000519,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Equation 1 is $x = (x * y) * ((x * y) * y)$. In a right-zero magma ($a * b = b$), the rightmost variable of the product side is $y$. Thus, Eq"
hard2_0011,False,True,False,True,VERDICT: TRUE,177.03,2598,680,0.000636,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((x * (x * y)) * y).\n2. Normalize: x is the single variable on the left. The product side P is y * ((x * (x * y)
hard2_0012,False,True,False,True,VERDICT: TRUE,269.69,2601,1024,0.000774,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (((z * y) * x) * z).\n2. Normalize: x is the single variable on the left. The product side P is y * (((z * y) * x
hard2_0013,False,False,True,True,VERDICT: FALSE,336.71,2601,280,0.000476,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Equation 1 is x = (y * ((y * x) * x)) * y. In a right-zero magma (a*b = b), the rightmost variable of the product side is y. Thus, Eq1 become"
hard2_0014,False,False,True,True,VERDICT: FALSE,470.59,2601,264,0.000470,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Equation 1 is $x = y * ((x * (x * y)) * y)$. In a right-zero magma ($a * b = b$), the rightmost variable of the product side is $y$. Thus, Eq"
hard2_0015,False,True,False,True,VERDICT: TRUE,537.16,2600,142,0.000421,VERDICT: TRUE\nRULE: constant operation\n\nReasoning:\nEquation 1 is x * x = (y * (z * w)) * u.\nThe left side is a product term (x * x) and the right side is a product term ((y * (z * w)) * u).\nThe 
hard2_0016,False,True,False,True,VERDICT: TRUE,649.80,2600,144,0.000422,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is bare: x = x * (y * ((y * z) * y)).\n2. It matches the form x = x * T, where T = (y * ((y * z) * y)) and T does not contain x.\n3. T"
hard2_0017,True,True,True,True,VERDICT: TRUE,806.60,2601,324,0.000494,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (x * (y * (y * z))).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * (x
hard2_0018,True,True,True,True,VERDICT: TRUE,932.38,2598,810,0.000688,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\nEquation 1 is bare and has the form x = x * T, where T = ((x * (y * z)) * z). However, the rule 2.6 requires T to NOT contain x. Let's re-evaluate.\"
hard2_0019,True,,,False,,1018.14,0,0,0.000000,[API ERROR] The operation was aborted
hard2_0020,False,True,False,True,VERDICT: TRUE,1583.14,2601,665,0.000630,"VERDICT: TRUE\nRULE: constant operation\n\nReasoning:\nEquation 1 is x * (y * z) = z * (w * u).\nThe left side is a product term with variables {x, y, z}.\nThe right side is a product term with variab"
hard2_0021,True,True,True,True,VERDICT: TRUE,1620.00,2600,236,0.000458,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((z * w) * x) (after renaming and swapping).\n2. Normalize Equation 1: x = y * ((z * w) * x).\n3. Analyze the pro
hard2_0022,True,True,True,True,VERDICT: TRUE,617.70,2601,159,0.000428,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: $x = y * (((x * y) * z) * w)$.\n2. Normalize Equation 1: $x$ is the single variable on the left. The product side $P$ is 
hard2_0023,True,True,True,True,VERDICT: TRUE,884.60,2598,591,0.000600,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is bare: x = x * (y * (x * z)). However, the rule 2.6 (Left Projection) requires the form x = x * T where T does not contain x. In thi"
hard2_0024,True,True,True,True,VERDICT: TRUE,917.25,2598,299,0.000483,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (z * (x * x)).\n2. Normalize: x is the single variable on the left. The product side P is y * (z * (x * x)).\n3. 
hard2_0025,False,False,True,True,VERDICT: FALSE,1126.16,2599,102,0.000405,"VERDICT: FALSE\nRULE: default false\n\nReasoning:\nEquation 1 is not bare, so source-collapse and projection routes (2.5-2.8) do not apply.\nNo exact renaming, singleton collapse, or structural heuris"
hard2_0026,True,True,True,True,VERDICT: TRUE,1148.55,2601,602,0.000605,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = (((y * x) * z) * y) * x.\n2. Normalize Equation 1: x is the single variable on the left. The product side P is (((y *
hard2_0027,False,True,False,True,VERDICT: TRUE,643.78,2602,672,0.000633,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((z * (y * y)) * x).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0028,True,False,False,True,VERDICT: FALSE,102.48,2599,220,0.000452,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 (x * y = y * ((y * z) * x)) simplifies to y = x. This is not an identity for all x, y, z, so th"
hard2_0029,False,False,True,True,VERDICT: FALSE,133.95,2599,91,0.000400,"VERDICT: FALSE\nRULE: default false\n\nReasoning:\nEquation 1 is not bare, so source-collapse and projection routes (2.5-2.8) do not apply.\nNo exact renaming, singleton collapse, or structural TRUE h"
hard2_0030,True,True,True,True,VERDICT: TRUE,251.20,2600,158,0.000427,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (x * ((z * z) * w)).\n2. Normalize: x is the single variable on the left. The product side P is y * (x * ((z * z)
hard2_0031,False,True,False,True,VERDICT: TRUE,327.11,2601,749,0.000664,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((x * (x * y)) * y).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0032,False,False,True,True,VERDICT: FALSE,385.10,2599,321,0.000492,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 (x * y = (z * (x * w)) * y) becomes y = y, which is always true.\n2. In a right-zero magma, Equ"
hard2_0033,True,True,True,True,VERDICT: TRUE,520.26,2601,273,0.000473,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: $x = y * ((z * (x * x)) * y)$.\n2. Normalize Equation 1: $x$ is the single variable on the left. The product side $P$ is 
hard2_0034,False,False,True,True,VERDICT: FALSE,581.14,2599,218,0.000451,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 (x * y = (y * (x * z)) * z) simplifies to y = z, which is not true for all x, y, z. Wait, the r"
hard2_0035,True,True,True,True,VERDICT: TRUE,725.04,2601,172,0.000433,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = ((y * x) * (x * z)) * w.\n2. Normalize: x is the single variable on the left. The product side P is ((y * x) * (x * z
hard2_0036,True,True,True,True,VERDICT: TRUE,876.24,2602,225,0.000454,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = (y * (z * x)) * (x * w).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is (y * (
hard2_0037,True,True,True,True,VERDICT: TRUE,975.88,2601,123,0.000413,"VERDICT: TRUE\nRULE: right projection\n\nReasoning:\n1. Equation 1 is bare: x = (((y * z) * w) * w) * x.\n2. The product term T = (((y * z) * w) * w) does not contain x.\n3. According to Rule 2.7, thi"
hard2_0038,False,True,False,True,VERDICT: TRUE,1605.07,2601,859,0.000708,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((x * (x * y)) * y).\n2. Normalize: x is the single variable on the left. The product side P is y * ((x * (x * y)
hard2_0039,True,True,True,True,VERDICT: TRUE,1235.86,2601,264,0.000470,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: $x = y * ((y * (x * x)) * z)$.\n2. Normalize Equation 1: $x$ is the single variable on the left. The product side $P$ is 
hard2_0040,True,True,True,True,VERDICT: TRUE,1454.08,2598,166,0.000430,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (x * ((y * z) * w)).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * (x
hard2_0041,False,True,False,True,VERDICT: TRUE,70.01,2602,834,0.000698,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((y * (x * y)) * x).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0042,False,False,True,True,VERDICT: FALSE,160.15,2601,289,0.000480,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1 is x * (y * x) = (z * w) * u.\n2. The leftmost variable of the left side of Eq1 is x.\n3. The leftmost variable of the right side 
hard2_0043,False,False,True,True,VERDICT: FALSE,255.62,2601,131,0.000417,"VERDICT: FALSE\nRULE: set exclusion\n\nReasoning:\n1. Equation 1 is x = ((x * (x * y)) * y) * y. Both sides of Equation 1 use the variable set {x, y}.\n2. Equation 2 is x * (y * x) = x * (y * z). The "
hard2_0044,True,True,True,True,VERDICT: TRUE,340.87,2601,239,0.000460,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = (y * ((z * z) * x)) * w.\n2. Normalize Equation 1: x is the single variable on the left. The product side P is (y * (
hard2_0045,False,False,True,True,VERDICT: FALSE,449.48,2599,332,0.000497,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1 is x * x = ((y * z) * w) * u.\n2. The variable counts (AB) for the left side of Eq1 are {x: 2} and for the right side are {y: 1, z: 1"
hard2_0046,False,False,True,True,VERDICT: FALSE,549.43,2601,255,0.000466,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. In a left-zero magma (a*b = a), Equation 1 becomes x = w. This is not an identity, so Equation 1 does not hold for all assignments in a left-z"
hard2_0047,False,False,True,True,VERDICT: FALSE,1493.36,2599,323,0.000493,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. In a right-zero magma (a * b = b), Equation 1 (x * y = (y * (x * z)) * y) becomes y = y, which is always true.\n2. In a right-zero magma, Equ"
hard2_0048,False,False,True,True,VERDICT: FALSE,1710.21,2601,239,0.000460,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. In a left-zero magma (a*b = a), Equation 1 becomes x = w. This is not an identity, so Equation 1 does not hold for all assignments in a left-z"
hard2_0049,True,True,True,True,VERDICT: TRUE,925.36,2601,199,0.000444,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (((z * w) * x) * y).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0050,True,True,True,True,VERDICT: TRUE,1565.62,2598,343,0.000501,VERDICT: TRUE\nRULE: right projection\n\nReasoning:\n1. Equation 1 is bare: x = y * ((z * x) * z).\n2. Normalizing Equation 1: x is the single variable on the left. The product term P = y * ((z * x) *
hard2_0051,False,False,True,True,VERDICT: FALSE,1133.18,2601,163,0.000429,"VERDICT: FALSE\nRULE: default false\n\nReasoning:\nEquation 1 is a bare equation: x = (y * ((y * x) * x)) * y.\nChecking contradiction motifs (Step 2.8): rhsVars = 2 (x, y), so motifs C1, C4, C5, C6, "
hard2_0052,False,True,False,True,VERDICT: TRUE,1772.17,2601,752,0.000665,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * ((x * (x * y)) * y).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * ((
hard2_0053,True,True,True,True,VERDICT: TRUE,7.89,2602,234,0.000458,VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\n1. Equation 1 is bare: x = y * (x * (z * (x * z))).\n2. Normalize Equation 1: x is the single variable on the left. The product side P is y * (x
